,0
232,Relaxed code-excited linear prediction
233,Mark Bedau
234,Cliff Shaw
235,HAL (software)
236,Issue tree
237,Turbo (Gobots)
238,TomTom
239,Big Mouth Billy Bass
240,AeroVironment Nano Hummingbird
241,User interface modeling
242,Envelope (motion)
243,Rayshade
244,BoomBots
245,Affinity (taxonomy)
246,Affix grammar over a finite lattice
247,Uru–Chipaya languages
248,Digital artifact
249,Trigun
250,Araucaria (software)
251,Lincoln Experimental Satellite
252,Zynga Poker
253,Airmageddon
254,Predicate (mathematical logic)
255,Bullet Cluster
256,Rover Challenge Series
257,Medical Subject Headings
258,Image collection exploration
259,Steve Omohundro
260,Medical robot
261,WASP-7
262,Light field
263,Raymond Reiter
264,Cointerpretability
265,.ras
266,Robust principal component analysis
267,S3 Texture Compression
268,Intelligent Home Control
269,National identity card (Sweden)
270,Swedish Chess Computer Association
271,Giga Pet
272,Knight Rider (season 1)
273,Deep learning processor
274,Livestock branding
275,Data Mining Extensions
276,Thompson's construction
277,Telecentric lens
278,Self-propelled particles
279,Camfrog
280,Coupe de France de robotique
281,.bmp
282,Droid (Star Wars)
283,Talking Angela
284,Tupian languages
285,Driverless tractor
286,Discrete Laplace operator
287,Selenenic acid
288,Mitra Robot
289,Mongoose OS
290,John M. Carroll (information scientist)
291,Mann & Machine
292,Tinnitus masker
293,FXG
294,Neuromancer
295,Red Torpedo
296,The Trons
297,Manhunters (DC Comics)
298,Joseph Weizenbaum
299,Mobile RFID
300,Computer vision dazzle
301,Pseudolocalization
302,Christmas tree packet
303,Phosphinous acids
304,The Ascension Factor
305,Implicit data collection
306,IEEE Congress on Evolutionary Computation
307,LG Prada II
308,Andrew Martin (The Bicentennial Man)
309,ACT-R
310,Accessibility
311,Make (magazine)
312,WASP-18
313,Vision processing unit
314,Chatterbox Challenge
315,Rog-O-Matic
316,Construction of t-norms
317,PlayStation controller
318,BlinkyTM
319,Relaxation labelling
320,ASEA IRB
321,EuroMatrixPlus
322,Bibliographic Ontology
323,First they came ...
324,T-1000
325,Enhanced Voice Services
326,H.E.R.B.I.E.
327,Zero Robotics
328,Colourant
329,Image plane
330,ChessV
331,Robotic massage chair
332,HRP-4C
333,Gunhed (film)
334,Robot leg
335,Content intelligence
336,Gita (mobile carrier)
337,Cognitive infocommunications
338,Weighted majority algorithm (machine learning)
339,Swarm robotic platforms
340,Sussman anomaly
341,Moodbar
342,Newton disc
343,3D Slicer
344,Text corpus
345,Terrahawks
346,Board representation (computer chess)
347,Methylenedioxy
348,Pierre Teilhard de Chardin
349,Clickworkers
350,S5 (file format)
351,Irwin Sobel
352,GOMS
353,British Automation and Robot Association
354,Alternate reality game
355,Lydia Kavraki
356,Thanatosensitivity
357,Bézier curve
358,Palaihnihan languages
359,Runge's phenomenon
360,Michael Gelfond
361,Mark T. Maybury
362,Pepper (robot)
363,Robot (CNBLUE song)
364,Twilight switch
365,Hybrid machine translation
366,Fuzzy measure theory
367,Thesaurus (information retrieval)
368,Honeywell RQ-16 T-Hawk
369,Ontology alignment
370,Skully (helmet)
371,NGC 4631 Group
372,Bradley–Terry model
373,Probabilistic latent semantic analysis
374,Kxʼa languages
375,Khalkotauroi
376,Liturgical colours
377,Natalie Jeremijenko
378,Wink
379,Methyl group
380,Automated parking
381,Do Space
382,SmartGate
383,Vincent C. Müller
384,Inertial navigation system
385,Armoured Gideon
386,OpTIIX
387,Nanotomography
388,Oxbotica
389,FreeHAL
390,Lenses for SLR and DSLR cameras
391,Plate notation
392,Softkinetic
393,Magnetic stripe card
394,Digitization
395,Evaluation function
396,The Sword of Damocles (virtual reality)
397,Dynamic epistemic logic
398,Robot Operating System
399,Immunocomputing
400,Dimitris Metaxas
401,The Talos Principle
402,Redirected walking
403,Adaptive sampling
404,Anoto
405,Julian Lombardi
406,Canny edge detector
407,Semantic Web Stack
408,Astrocam
409,Serial manipulator
410,Probabilistic Action Cores
411,VoATM
412,SPT-CL J2106-5844
413,Dana H. Ballard
414,Social neuroscience
415,CARINE
416,Asteroid Zoo
417,Quantified self
418,Bunuban languages
419,Juvenile (2000 film)
420,Android 17
421,Text-based web browser
422,Avery Dennison
423,Xiao-i
424,Color scheme
425,GameCube controller
426,Tadashi Hamada
427,Terrafly
428,Naomi Sager
429,Research on Language and Computation
430,Molecular imaging
431,Liveware
432,ISO 25964
433,CHIP (programming language)
434,Jpred
435,Triplet loss
436,MEISTeR (Robot)
437,Jungle Speed
438,IoTivity
439,Julia Schnabel
440,Quantum Artificial Intelligence Lab
441,Hindsight optimization
442,Scott Hudson (computer scientist)
443,Presupposition
444,FIDO Alliance
445,Evolution (Baxter novel)
446,Janet L. Kolodner
447,Moment distance index
448,Materialise NV
449,.exif
450,Multiplicative weight update method
451,Concept map
452,Rajko Tomović
453,Laser designator
454,TAI Anka
455,Fulgore
456,Convolution
457,IPhone 4
458,LusoVU
459,Esperanto orthography
460,Mind (The Culture)
461,Stevens's power law
462,Paddle (game controller)
463,Krab Borg
464,Andrew McCallum
465,Circa 1948
466,Augmented Reality Markup Language
467,Hydride
468,Akinator
469,Jeeney AI
470,PI-RADS
471,Lumitrack
472,HARP (algorithm)
473,Benson's algorithm (Go)
474,Unmanned ground vehicle
475,Symbolic regression
476,AZFinText
477,Open-world assumption
478,Lunarville 7
479,VTime XR
480,Power Quest (video game)
481,American robotics
482,2XMM J083026+524133
483,Workbench (AmigaOS)
484,Markov chain geostatistics
485,Digital Print Order Format
486,Mysteron
487,Buffalo Automation
488,Hugo de Garis
489,The Arcade (joystick)
490,Shape analysis (digital geometry)
491,Call to action (marketing)
492,SAKO (programming language)
493,ClearTalk
494,Collimated transmission theory
495,Finger vein recognition
496,Murder and the Android
497,Artificial Intelligence for IT Operations
498,Data Science and Predictive Analytics
499,Input mask
500,Face ID
501,Aline Systems
502,Weighted constraint satisfaction problem
503,Ambient intelligence
504,Type color
505,Jump point search
506,Lexical simplification
507,IFTTT
508,Sigel (Oh My Goddess!)
509,PROPHET system
510,Stereoblindness
511,Mousepad
512,Stochastic neural analog reinforcement calculator
513,Digital image processing
514,UDOP
515,Stanford Research Institute Problem Solver
516,Development Fraction
517,Interactive visualization
518,Fritzing
519,Abell 2597
520,Normalized Google distance
521,Progressive meshes
522,Arterial input function
523,Stationary wavelet transform
524,Zack Snyder's Justice League
525,Crowdreviewing
526,The Turk
527,Binocular disparity
528,Galileo affair
529,Abell 262
530,Abell 2147
531,Kimiko Glenn
532,Color space
533,Roboquad
534,Mahoromatic
535,SNePS
536,Hermite spline
537,Blockhead (thought experiment)
538,ISO 3166
539,Semantic compression
540,David B. Samadi
541,Juggling robot
542,Ford Sync
543,DAVI
544,Hunting Aerosurveys Ltd
545,Michael Naimark
546,Persian Speech Corpus
547,Lasso (statistics)
548,VIPeR
549,Starfire video prototype
550,Futures wheel
551,Gugusse and the Automaton
552,Methylene group
553,MasterImage 3D
554,Gouraud shading
555,La Machine (production company)
556,Growth function
557,Hardware code page
558,Disney's Comics in 3-D
559,Stereotaxy
560,Haile (robot)
561,Linear discriminant analysis
562,Lotus International Character Set
563,CuneiForm (software)
564,BattleBots
565,Marcus Hutter
566,Test functions for optimization
567,Causal inference
568,Dynamically Redefined Character Set
569,DriveOhio
570,Cartesian Perceptual Compression
571,Blit (computer terminal)
572,I-Chen Wu
573,Acyl group
574,Poo-Chi
575,Salience (neuroscience)
576,Notebook interface
577,Mr. Robot (video game)
578,Holland's schema theorem
579,Arawakan languages
580,Synaptic transistor
581,Picas (app)
582,The Electric Ant
583,Spacecraft thermal control
584,Norton Guides
585,Klaus-Robert Müller
586,Rhex
587,Project Debater
588,Teleoperation
589,Euro key
590,Programming by example
591,Mlpy
592,Shifra Smart Homes
593,Triuret
594,Saturn 3
595,LyteShot
596,User modeling
597,Hit-or-miss transform
598,Clockwork Girl
599,Kariri languages
600,4D-RCS Reference Model Architecture
601,Dr. Wily
602,Extrapolation
603,User behavior analytics
604,FIPS 137
605,DOGMA
606,Disabled Children's Computer Group
607,Suggested Upper Merged Ontology
608,Great Sky River (novel)
609,Scarab (rover)
610,Free look
611,Evaluation of binary classifiers
612,Currah
613,Torpig
614,Samsung SPH-N270
615,Card Sharks (video game)
616,Virtual Chess 64
617,Semantic Web Rule Language
618,Henry Fuchs
619,Empathy (software)
620,Joanna McGrenere
621,Howard H. Pattee
622,Wendy Hall
623,Autoencoder
624,Screen space directional occlusion
625,INDECT
626,Robert E. Kraut
627,Microsoft Lumia 950
628,Purple fringing
629,Local consistency
630,CanSat
631,Articulated body pose estimation
632,Blade Runner (soundtrack)
633,Déjà Vu (software)
634,Mustafa Suleyman
635,Eradicator (character)
636,Scancode
637,Computational semantics
638,Lingoes
639,Kobian
640,Virtuality (product)
641,AT&T FSM Library
642,Rattle GUI
643,Rasterisation
644,Dutch Open Computer Chess Championship
645,Lumus
646,Google Image Swirl
647,3Shape
648,Dominant wavelength
649,Impossible color
650,Id Tech 5
651,SwisTrack
652,Braille translator
653,Gifar
654,Hybrid intelligent system
655,Bifunctional
656,Arthur Mamou-Mani
657,CuteCircuit
658,ENQUIRE
659,Pebble (watch)
660,Genetic Algorithm for Rule Set Production
661,Questionnaire for User Interaction Satisfaction
662,United States v. Ancheta
663,Windows Color System
664,INOI R7
665,CEN/CENELEC Guide 6
666,Xerox Star
667,Website localization
668,The Entire History of You
669,Psycho (automaton)
670,Knowledge Query and Manipulation Language
671,Ed Traxler
672,Theory of conjoint measurement
673,Tank Tankuro
674,Unmanned aerial photogrammetric survey
675,Larry Kaufman
676,Viola–Jones object detection framework
677,Josef Čapek
678,Value restriction
679,Google Nest
680,CADIE
681,Radio Bearer in UMTS
682,BCM Classification
683,Open manufacturing
684,Strömberg wavelet
685,Surface computing
686,Actroid
687,User profile
688,Nitronium ion
689,Rediet Abebe
690,Micropolygon
691,Rescue Robots
692,Riddler
693,Pythia (machine learning)
694,Apertium
695,Ben Bederson
696,Rigid motion segmentation
697,Binary space partitioning
698,Integrated Computer Solutions
699,Bit bucket
700,Mevade Botnet
701,.ai (file format)
702,Thymio
703,Office chair
704,Military robot
705,Object (image processing)
706,Artificial intelligence in government
707,XBin
708,Jakob Nielsen (usability consultant)
709,Eugene Nalimov
710,Robert Kurtzman
711,RTI-121
712,Dov Dori
713,Hama (company)
714,Operating environment
715,All-aspect
716,Digital geometry
717,Stardust in Your Eyes
718,Dicarbonate
719,Color temperature
720,Geworkbench
721,Apple Icon Image format
722,ParkShuttle
723,Paltalk
724,Basis pursuit
725,William Grey Walter
726,Robopon 2 Ring and Cross Versions
727,Senster
728,The Risen Empire
729,Workerbot
730,HL7 Services Aware Interoperability Framework
731,Niobe (The Matrix)
732,Surface Robotics Laboratory-CMERI
733,Ottobock
734,RoboDK
735,Nevanlinna–Pick interpolation
736,Blaise Bontems
737,Badr (satellite)
738,Human factors in diving equipment design
739,Mean squared prediction error
740,WASP-32
741,Predictive state representation
742,Warframe
743,Connected Home over IP
744,Amarakosha
745,Truncation selection
746,Résumé parsing
747,H.263
748,Descent (upcoming video game)
749,Stéphane Leduc
750,Bixby (software)
751,Symmetry-breaking constraints
752,Saul Tigh
753,Sulfamoyl fluoride
754,Maximally stable extremal regions
755,Markov model
756,F-score
757,Retained mode
758,Veveo
759,SARL language
760,Singulation
761,Concept class
762,Moira Burke
763,Eclipse Phase
764,AI control problem
765,Prime Vision BV
766,MindSphere
767,Pose (computer vision)
768,Fembots (Austin Powers)
769,Mechanisms and Robotics Award
770,Textual case-based reasoning
771,CHREST
772,Plasma cutting
773,Erwin (User Friendly character)
774,Styrobot
775,Woozworld
776,CubicWeb
777,Probability matching
778,Model robot
779,RAMnets
780,The Life Engineered
781,Buzzword compliant
782,VP9
783,Residual-excited linear prediction
784,AVM Navigator
785,Bokode
786,Radiosity (computer graphics)
787,Pama–Nyungan languages
788,.svgz
789,Fast wavelet transform
790,Customer knowledge
791,Hubert Dreyfus
792,Cooperative coevolution
793,Late move reductions
794,BioPAX
795,Automatic milking
796,Boids
797,NEAT Particles
798,OpenWSN
799,GPE Palmtop Environment
800,Australasian Language Technology Association
801,Automatic number-plate recognition
802,Simple rational approximation
803,Live conferencing
804,Bespoke
805,Multiscale motion mapping
806,Forterra Systems
807,Edward M. Riseman
808,Emergence
809,VRChat
810,Shwetak Patel
811,Arithmetic progression
812,"Czech Institute of Informatics, Robotics and Cybernetics"
813,Robot competition
814,European Color Initiative
815,Camera module
816,Trie
817,Sleeper (1973 film)
818,Werewolves Within
819,Koolvac
820,Programmable thermostat
821,Digital Molecular Matter
822,Zipf–Mandelbrot law
823,Continuously variable slope delta modulation
824,Scott Fisher (technologist)
825,Remote control vehicle
826,IranOpen
827,Nabtesco
828,Walter Pitts
829,Matti Antero Karjalainen
830,GPhoto
831,Fuzzy finite element
832,Sony ARW
833,X-ray detector
834,Terminal capabilities
835,Repetitive strain injury
836,Artificial intelligence in healthcare
837,Racing wheel
838,Spectacles (product)
839,Lone Echo
840,Comparison of domestic robots
841,Quine (computing)
842,Photographic plate
843,Hero of Robots
844,Facial symmetry
845,The Outer Limits (1995 TV series)
846,Pcloudy
847,IEEE Intelligent Systems
848,Optimal discriminant analysis and classification tree analysis
849,Italian robotics
850,Self-righting mechanism
851,Chirplet transform
852,CSUN Assistive Technology Conference
853,Mondo spider
854,James H. Morris
855,Phyllis Fox
856,Color histogram
857,Jitendra Malik
858,Eyes of Things
859,Rei Toei
860,Ithkuil
861,Synchronicity
862,IChat
863,Transreality game
864,Limbitless Solutions
865,Convex hull
866,Marlin (firmware)
867,Environmental Audio Extensions
868,Drone (2014 film)
869,Variable kernel density estimation
870,John E. Laird
871,Shyster (expert system)
872,ClearForest
873,Automated Lip Reading
874,Mobile phone
875,Bob Gurr
876,Interaction technique
877,Three-CCD camera
878,William G. Harless
879,Smart refrigerator
880,Teletype Corporation
881,Alien 3
882,Jenny Preece
883,Ultimo (Marvel Comics)
884,Biodiversity Heritage Library for Europe
885,Blingee
886,Simon M. Kirby
887,Symbolics keyboard
888,Described and Captioned Media Program
889,Ternary equivalence relation
890,Teragram Corporation
891,Calais (Reuters product)
892,Nemesis (1992 film)
893,SOLO-TREC
894,Horizon Forbidden West
895,Connected-component labeling
896,.eip
897,Artificial intelligence art
898,Proof complexity
899,Constitution type
900,Kamelion
901,So.cl
902,Jens Lehmann (scientist)
903,Highway network
904,Mephisto (automaton)
905,Opponent process
906,Ted Kaehler
907,Line detection
908,PDC-HR
909,Electrical Impedance and Diffuse Optical Tomography Reconstruction Software
910,Mount Everest webcam
911,Geopolitical ontology
912,Xanthate
913,Tensor operator
914,Design rationale
915,Full-spectrum light
916,Ether
917,Image SXM
918,Complex dynamics
919,Transhuman Space
920,DirectX Raytracing
921,The Fanimatrix
922,Aerial archaeology
923,Publishing Requirements for Industry Standard Metadata
924,Translatewiki.net
925,Label propagation algorithm
926,Juarez 2045
927,Google IME
928,Alkyne
929,Dronestagram
930,Horizontal and vertical writing in East Asian scripts
931,Fork Particle
932,OBO Foundry
933,M (virtual assistant)
934,Output device
935,Evangelion (mecha)
936,Torture Garden (film)
937,Speech analytics
938,Unicode input
939,Nearables
940,David Haussler
941,Western Tasmanian languages
942,Aurora (novel)
943,Organic user interface
944,Thermal infrared spectroscopy
945,John T. Riedl
946,Euler operator
947,Tier-scalable reconnaissance
948,Flakey the robot
949,Cruise (autonomous vehicle)
950,Local Group
951,Lex Luthor
952,Thread (network protocol)
953,Sentence boundary disambiguation
954,Latanya Sweeney
955,FERET (facial recognition technology)
956,Endocentric environment
957,Dizoid languages
958,Adaptation (computer science)
959,Perspective-n-Point
960,.rwl
961,Sufficient dimension reduction
962,Clone Wars (Star Wars)
963,3D scanning
964,Ian Kerr (academic)
965,Light-weight process
966,Waist–hip ratio
967,Inference attack
968,Speech recognition
969,Learning vector quantization
970,Artists in Isabey's Studio
971,Radiodrum
972,Xenobot
973,First-order logic
974,Innovation butterfly
975,Grow Up (video game)
976,Ofer Dekel (researcher)
977,Graphics processing unit
978,Knowledge compilation
979,Cyborg Noodle
980,Meta Content Framework
981,Operational taxonomic unit
982,Light stage
983,Moravec's paradox
984,Scratch (programming language)
985,Affinity propagation
986,Selection (genetic algorithm)
987,Precedence effect
988,Robot tax
989,Breadcrumb navigation
990,Macroblock
991,Applied Digital Data Systems
992,Robert's Quartet
993,International Journal of Software Engineering and Knowledge Engineering
994,Organic linking
995,Death of Elaine Herzberg
996,Computer mouse
997,3DF Zephyr
998,Car colour popularity
999,Monster Strike
1000,FoldiMate
1001,Wax thermostatic element
1002,European Conference on Computer Vision
1003,IC in a Sunflower
1004,Amazon SageMaker
1005,Metaversum GmbH
1006,Oxime
1007,Neural Designer
1008,Brown clustering
1009,Nvidia 3D Vision
1010,Visual Turing Test
1011,Manifold regularization
1012,John Horton Conway
1013,Evolutionary multimodal optimization
1014,Fyuse - Point of No Return
1015,Ted Selker
1016,Blink Home
1017,Cut (logic programming)
1018,Minimal mappings
1019,Bodystorming
1020,Quinone methide
1021,Text mode
1022,Organic peroxide
1023,Sturmian word
1024,Élan vital
1025,Data stream clustering
1026,Expected progeny difference
1027,Michael Witbrock
1028,Generalized structure tensor
1029,Paul Humphreys (philosopher)
1030,Semigraphics
1031,Themes in Blade Runner
1032,Hourman (android)
1033,Vectra AI
1034,Version space learning
1035,Mii
1036,Ridge detection
1037,Sansar (video game)
1038,Gimbal lock
1039,Dewey Decimal Classification
1040,Khepera mobile robot
1041,Transformers Aligned Continuity
1042,Digimon
1043,Internationalization Tag Set
1044,.jp2
1045,.xbm
1046,Pentachromacy
1047,Graph cut optimization
1048,Image segmentation
1049,"Abort, Retry, Fail?"
1050,Sensei robotic catheter system
1051,C4.5 algorithm
1052,Mande languages
1053,Satisfiability modulo theories
1054,Achromatic colour
1055,Zoom (software)
1056,Abell 3742
1057,Meinü robot
1058,Donecle
1059,Xenoblade Chronicles (video game)
1060,Rotwang
1061,Biositemap
1062,Robo Recall
1063,X-ray microtomography
1064,Monochromacy
1065,TasteDive
1066,Claytronics
1067,Boneworks
1068,Closed-circuit television
1069,Dual-energy X-ray absorptiometry
1070,Articulated robot
1071,Video motion analysis
1072,General game playing
1073,Robot navigation
1074,The Santa Clause 2
1075,Springtrap
1076,Abell 754
1077,Gender HCI
1078,White Ops
1079,Mcor Technologies Ltd
1080,Astro Boy (film)
1081,Superpedestrian
1082,Prosopometamorphopsia
1083,Google Goggles
1084,Cortana (Halo)
1085,"Felix, Net i Nika"
1086,Uniqueness quantification
1087,ProCon.org
1088,Gin Rummy (video game)
1089,Zoombombing
1090,Sigma knowledge engineering environment
1091,Linguistic Data Consortium
1092,Deepfake pornography
1093,Microsoft Office 2003
1094,I Have Said Nothing
1095,Celestial Emporium of Benevolent Knowledge
1096,Robot-sumo
1097,GeneRec
1098,Principal component regression
1099,My Living Doll
1100,TREVENTUS
1101,Probabilistic logic network
1102,Guitar controller
1103,Zach Richter
1104,Vaa3D
1105,LIFX
1106,Indiana Philosophy Ontology Project
1107,Stott Parker
1108,Photometric stereo
1109,ICER
1110,Visual Mind
1111,Variable-order Markov model
1112,Aphelion (software)
1113,Soviet Unterzoegersdorf
1114,Smart shoe
1115,Microsoft SideWinder
1116,Deductive classifier
1117,Identifiability analysis
1118,Open Semantic Framework
1119,Augmented cognition
1120,Deep linguistic processing
1121,Jolla C
1122,Scribbler (robot)
1123,Jott
1124,Fitness proportionate selection
1125,Robin Popplestone
1126,Light-on-dark color scheme
1127,E-services
1128,Fraction of Upholders of the Proclamation
1129,Chess with Friends
1130,Hex triplet
1131,Region Based Convolutional Neural Networks
1132,Xbox Adaptive Controller
1133,Captain 3-D
1134,Match moving
1135,ESA Automation
1136,Self-tiling tile set
1137,Catastrophic interference
1138,Fifth generation computer
1139,RocketCake
1140,Defeasible reasoning
1141,Top-hat transform
1142,Lorraine Borman
1143,PictBridge
1144,Graphical terminal
1145,Signal beam
1146,Dustbot
1147,Intel RealSense
1148,Cold spray additive manufacturing
1149,Regulation of algorithms
1150,Fyuse
1151,Xenu's Link Sleuth
1152,Robert Tienwen Chien
1153,DxO
1154,Hitachi
1155,Smart battery charger
1156,Daniel Polani
1157,Nqthm
1158,Relation network
1159,Depth map
1160,Terradynamics
1161,Mexican International Conference on Artificial Intelligence
1162,Constraint Handling Rules
1163,Far-red
1164,Deepfake
1165,PyTorch
1166,Vattikuti Urology Institute
1167,Gaussian process
1168,Human–computer chess matches
1169,Tucanoan languages
1170,Research Institute for Advanced Computer Science
1171,Yubo
1172,Zava
1173,Vladimir Gorodetski
1174,Logo (programming language)
1175,TeleForm
1176,Bijection
1177,IPSO Alliance
1178,Hundred (novel series)
1179,HTC Vive
1180,Spykee
1181,Rashmi Robot
1182,Ai-Da (robot)
1183,Loop subdivision surface
1184,Singularity Sky
1185,Analyzer (comics)
1186,Helmholtz machine
1187,Susumu Tachi
1188,Intelligent character recognition
1189,Stardraw
1190,SaveMLAK
1191,Visual Information Fidelity
1192,.gif
1193,Sneakernet
1194,.bay
1195,Language Acquisition Device (computer)
1196,Itchy & Scratchy Land
1197,Carbamate
1198,CL1358+62
1199,Color structure code
1200,Bustline
1201,CESU-8
1202,Expectiminimax
1203,Hick's law
1204,Zapaday
1205,Moby Thesaurus
1206,Four sons of Horus
1207,Sexy Poker
1208,Parallax
1209,Information fuzzy networks
1210,Galaxy cluster
1211,Jimmy Neutron
1212,Color Robot Battle
1213,Evolvability (computer science)
1214,Sum of absolute differences
1215,VzRoom
1216,Vicarious (company)
1217,Gregory Abowd
1218,Divided consciousness
1219,Left Alive
1220,Meredith Whittaker
1221,Death's Head
1222,K-2SO
1223,Bis(trimethylsilyl)sulfur diimide
1224,Epsilon photography
1225,Ghosting (medical imaging)
1226,Coma I
1227,TWAIN
1228,Eskimo–Aleut languages
1229,Gege Gatt
1230,Cyberkinetics
1231,Cloudpunk
1232,Color grading
1233,Fuzz Academy
1234,Probabilistic database
1235,Word-sense induction
1236,Laffing Sal
1237,American Express – Virtual Reality
1238,Energy based model
1239,Blee
1240,Dysfunctional Systems
1241,OpenEI
1242,Songhay languages
1243,WDC 65C51
1244,The Mysterians
1245,TDVision
1246,Nokia Lumia 610
1247,The International Journal of Advanced Manufacturing Technology
1248,.gs (file format)
1249,Lely Juno family
1250,Wavelet modulation
1251,Medical imaging
1252,IMAGINE Photogrammetry
1253,Short Circuit (1986 film)
1254,Somnox Sleep Robot
1255,James Hendler
1256,Alex Pentland
1257,"I, Robot (1964 The Outer Limits)"
1258,Bolo universe
1259,Virtual reality
1260,Named graph
1261,Multiverse Foundation
1262,Fuzzy Control Language
1263,Google Lens
1264,On Vision and Colours
1265,NoteCards
1266,OWL-S
